site,x,y,z,cpu_psi,fpga_psi,cpu_density,fpga_density,density_error
50,2,6,0,12867.929153442383,12867.929153442399,165583600.69801241,165583600.69801283,4.1723251342773438e-07
51,3,6,0,13511.765563964844,13511.7655639648,182567808.65554619,182567808.65554503,-1.1622905731201172e-06
52,4,6,0,13511.765808105469,13511.7658081055,182567815.25308803,182567815.25308886,8.3446502685546875e-07
53,5,6,0,12867.929565429688,12867.9295654297,165583611.30085945,165583611.30085978,3.2782554626464844e-07
54,6,6,0,-15382.151824951172,-15382.151824951199,236610594.76584867,236610594.7658495,8.3446502685546875e-07
55,7,6,0,-17319.604598999023,-17319.604598999002,299968703.46566814,299968703.46566737,-7.7486038208007812e-07
56,0,7,0,-1505.9559326171875,-1505.9559326172,2267903.270984903,2267903.2709849407,3.771856427192688e-08
57,1,7,0,-17319.604354858398,-17319.604354858398,299968695.00883001,299968695.00883001,0
58,2,7,0,-32336.573501586914,-32336.5735015869,1045653985.8235329,1045653985.823532,-9.5367431640625e-07
59,3,7,0,19876.87126159668,19876.871261596702,395090011.15008795,395090011.15008885,8.9406967163085938e-07
60,4,7,0,19876.87126159668,19876.871261596702,395090011.15008795,395090011.15008885,8.9406967163085938e-07
61,5,7,0,-32336.573120117188,-32336.573120117198,1045653961.1526854,1045653961.1526861,7.152557373046875e-07
62,6,7,0,-17319.60432434082,-17319.604324340798,299968693.95172524,299968693.95172447,-7.7486038208007812e-07
63,7,7,0,-1505.9558868408203,-1505.9558868408001,2267903.1331105214,2267903.1331104608,-6.0535967350006104e-08
64,0,0,1,-17319.60400390625,-17319.604003906199,299968682.85212541,299968682.85212362,-1.7881393432617188e-06
65,1,0,1,-15382.151641845703,-15382.151641845699,236610589.13273647,236610589.13273636,-1.1920928955078125e-07
66,2,0,1,12867.929000854492,12867.929000854499,165583596.77103209,165583596.77103227,1.7881393432617188e-07
67,3,0,1,13511.765289306641,13511.765289306601,182567801.23331177,182567801.23331067,-1.1026859283447266e-06
68,4,0,1,13511.765701293945,13511.7657012939,182567812.36666346,182567812.36666223,-1.2218952178955078e-06
69,5,0,1,12867.929214477539,12867.929214477501,165583602.26880455,165583602.26880357,-9.8347663879394531e-07
70,6,0,1,-15382.151565551758,-15382.1515655518,236610586.78560638,236610586.7856077,1.3113021850585938e-06
71,7,0,1,-17319.604187011719,-17319.604187011701,299968689.19475389,299968689.19475323,-6.5565109252929688e-07
72,0,1,1,-15382.151473999023,-15382.151473999,236610583.96905032,236610583.9690496,-7.152557373046875e-07
73,1,1,1,20105.671020507812,20105.671020507802,404238007.18488765,404238007.18488723,-4.1723251342773438e-07
74,2,1,1,-30358.385147094727,-30358.385147094701,921631548.73934174,921631548.73934019,-1.5497207641601562e-06
75,3,1,1,9943.4303741455078,9943.4303741455005,98871807.605479479,98871807.60547933,-1.4901161193847656e-07
76,4,1,1,9943.4304351806641,9943.4304351807004,98871808.819277138,98871808.819277853,7.152557373046875e-07
77,5,1,1,-30358.385208129883,-30358.385208129901,921631552.44519925,921631552.44520032,1.0728836059570312e-06
78,6,1,1,20105.670715332031,20105.670715331999,404237994.91336006,404237994.91335869,-1.3709068298339844e-06
79,7,1,1,-15382.151657104492,-15382.151657104499,236610589.60216248,236610589.60216269,2.0861625671386719e-07
80,0,2,1,12867.929580688477,12867.9295806885,165583611.6935575,165583611.69355813,6.2584877014160156e-07
81,1,2,1,-30358.384506225586,-30358.3845062256,921631509.82783771,921631509.82783854,8.3446502685546875e-07
82,2,2,1,-2255.0477142333984,-2255.0477142333998,5085240.1934692748,5085240.1934692813,6.5192580223083496e-09
83,3,2,1,22592.074981689453,22592.0749816895,510401851.97827852,510401851.97828066,2.1457672119140625e-06
84,4,2,1,22592.074768066406,22592.074768066399,510401842.32590276,510401842.32590246,-2.9802322387695312e-07
85,5,2,1,-2255.0476989746094,-2255.0476989745998,5085240.1246506805,5085240.1246506376,-4.2840838432312012e-08
