site,x,y,z,psi_q16,psi_hex,psi_float,psi_prev_q16,psi_prev_hex,psi_prev_float,m_prev_q16,m_prev_hex,m_prev_float
385,1,0,6,501636279,0x1DE65CB7,7654.362167358398,432029561,0x19C03F79,6592.247940063477,-4854700,0xFFB5EC54,-74.07684326171875
386,2,0,6,79170291,0x04B80AF3,1208.0427703857422,-1896339901,0x8EF82643,-28935.850540161133,-52585415,0xFCDD9C39,-802.3897552490234
387,3,0,6,865275811,0x33930FA3,13203.061080932617,-1307306557,0xB21415C3,-19947.914993286133,-14278001,0xFF26228F,-217.86500549316406
388,4,0,6,506353695,0x1E2E581F,7726.344223022461,663506855,0x278C4FA7,10124.311141967773,23988261,0x016E0825,366.0318145751953
389,5,0,6,663045645,0x2785460D,10117.273635864258,-1691612149,0x9B2C0C0B,-25811.95295715332,23580199,0x0167CE27,359.80528259277344
390,6,0,6,-1014941647,0xC3813831,-15486.780502319336,1283560204,0x4C81930C,19585.57440185547,-1757331,0xFFE52F6D,-26.814743041992188
391,7,0,6,453192751,0x1B032C2F,6915.172592163086,158028987,0x096B54BB,2411.3309783935547,-9334737,0xFF71902F,-142.43678283691406
392,0,1,6,1189284664,0x46E30B38,18147.043823242188,-295981076,0xEE5BAFEC,-4516.312805175781,-11613218,0xFF4ECBDE,-177.20364379882812
393,1,1,6,372902491,0x163A0A5B,5690.040451049805,-941602165,0xC7E04A8B,-14367.70881652832,-28832614,0xFE480C9A,-439.9507751464844
394,2,1,6,-1844933284,0x92088D5C,-28151.447814941406,993331950,0x3B350AEE,15157.042694091797,-54506826,0xFCC04AB6,-831.7081604003906
395,3,1,6,1485375261,0x5889071D,22665.027786254883,1707295620,0x65C34384,26051.263732910156,-35795840,0xFDDDCC80,-546.201171875
396,4,1,6,-171762508,0xF5C31CB4,-2620.8878784179688,544790922,0x2078D98A,8312.84976196289,-19456726,0xFED71D2A,-296.8860778808594
397,5,1,6,1971292744,0x757F8A48,30079.540161132812,1945931991,0x73FC90D7,29692.56578063965,-39522800,0xFDA4EE10,-603.070068359375
398,6,1,6,-1860407208,0x911C7058,-28387.561157226562,459022971,0x1B5C227B,7004.134689331055,40425561,0x0268D859,616.8451080322266
399,7,1,6,1769672644,0x697B0FC4,27003.061584472656,1368914083,0x5197F8A3,20887.971237182617,19146607,0x0124276F,292.15403747558594
400,0,2,6,-1064051729,0xC093DBEF,-16236.140884399414,-142464082,0xF7822BAE,-2173.829376220703,-30187642,0xFE335F86,-460.6268615722656
